"","id","coral","algae","turf","soft","cca","simpD","shanH","acro","comp1","comp2","f.biomass","f.biomassT","f.N","f.richness","N.herb","N.carn","FshanH","FsimpD","FsimpD2","fcomp1","fcomp2","Complexity","lat","long","Data","Marine.Park","SectorRegion","Reef","Site","Transect","Zone","Year"
"1283035","Site195 Slope 1 2021",3,0,63,1,0.5,0.277777777777778,0.450561208866305,0,-1.98409215986952,-0.718608723792855,9987.67675206995,18919.4403726681,139,26,24,14,1.7461592676845,0.761347756327312,0.685885823715129,-0.547425884084643,0.606953489549011,2,"","","LTMP","GBR","Sector7","Reef65","Site195","1","Slope",2021
"1283164","Site195 Slope 2 2021",7.5,0,54.5,1.5,0.5,0.417777777777778,0.729871209983116,0,-2.42514816209111,0.0460201934622592,5063.85481337079,16447.9241442588,93,18,42,8,1.75775494476264,0.819401086830847,0.556711758584807,-1.46564659731579,-0.0750918573835437,2,"","","LTMP","GBR","Sector7","Reef65","Site195","2","Slope",2021
"1283293","Site195 Slope 3 2021",12,1.5,73.5,0,3,0.46875,0.762104222046958,0,-2.53978204456934,-0.173862707041188,5682.36070153829,12326.0381309507,65,22,27,13,1.84681917236123,0.79905325443787,0.474792899408284,-1.21182868646499,-0.240147635360725,2.5,"","","LTMP","GBR","Sector7","Reef65","Site195","3","Slope",2021
"1283422","Site195 Slope 4 2021",16.1904761904762,1.9047619047619,65.7142857142857,3.33333333333333,4.28571428571429,0.678200692041522,1.18823667626887,0,-3.16492556389056,1.68862432697799,21560.3119610428,35341.8214152662,115,25,41,14,1.87885208379089,0.820264650283554,0.599621928166352,-0.547359314630519,0.0595741423659905,3,"","","LTMP","GBR","Sector7","Reef65","Site195","4","Slope",2021
"1283551","Site195 Slope 5 2021",12.3809523809524,0,78.5714285714286,0.476190476190476,0.952380952380952,0.692307692307692,1.30240185770852,0.0384615384615385,-1.90942061067954,0.270337658636959,8859.91703361945,18554.8998472631,108,19,45,4,1.64337343712334,0.771090534979424,0.528292181069959,-1.39912717690468,-1.07760848400614,2,"","","LTMP","GBR","Sector7","Reef65","Site195","5","Slope",2021
"1283680","Site193 Slope 1 2022",8,0,52.5,0.5,0.5,0.3203125,0.601923971732289,0,-2.34166800514214,0.0956222966402407,5715.81156976903,9023.1003064067,113,31,9,34,1.7046334030045,0.816430417417182,0.74954969065706,-0.767968534413897,1.38628200241634,2,"","","LTMP","GBR","Sector7","Reef65","Site193","1","Slope",2022
"1283809","Site193 Slope 2 2022",6,0,54,0,0,0.652777777777778,1.19884931291362,0.0833333333333333,-1.85831860731368,0.63373895964201,16112.6045738069,22734.0026003186,127,27,18,40,1.72028471971651,0.813193626387253,0.735445470890942,-0.515624580835418,1.06365473776802,2,"","","LTMP","GBR","Sector7","Reef65","Site193","2","Slope",2022
"1283938","Site193 Slope 3 2022",9.5,0,60,1,0.5,0.554016620498615,0.917402180362741,0,-2.58999261322301,1.95370764382919,20708.6753099789,39509.039933392,205,32,58,34,1.72525220100734,0.798239143367043,0.719666864961332,0.574260666079655,0.911684498845145,1.5,"","","LTMP","GBR","Sector7","Reef65","Site193","3","Slope",2022
"1284067","Site193 Slope 4 2022",11,0,68.5,2.5,0.5,0.5,0.693147180559945,0,-2.07927620421086,-0.895637301996925,8356.03154763045,30517.1253775643,275,39,15,30,1.2493404920554,0.583312396694215,0.567153719008265,-0.327676955027089,1.30671735077404,1.5,"","","LTMP","GBR","Sector7","Reef65","Site193","4","Slope",2022
"1284196","Site193 Slope 5 2022",9.04522613065327,0,73.3668341708543,0.50251256281407,0,0.58641975308642,0.958000280088773,0,-2.56845188015585,0.188726510313209,13163.306738231,27522.5298145713,161,38,28,37,1.69591740390546,0.786505150264264,0.702557771690907,-0.108522678539789,0.539677988647479,2,"","","LTMP","GBR","Sector7","Reef65","Site193","5","Slope",2022
"1284325","Site194 Slope 1 2022",14.5,0,60.5,0.5,5.5,0.62782401902497,1.10806027864049,0.0344827586206897,-2.17948909857917,0.443267360601161,4437.17105219567,9535.98270822702,228,30,9,25,1.16958900683993,0.556267313019391,0.543917359187442,-1.14994500290655,1.08783603409742,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","1","Slope",2022
"1284454","Site194 Slope 2 2022",19.9004975124378,0.995024875621891,54.228855721393,0.497512437810945,0.995024875621891,0.57375,0.936356912783821,0,-2.60678965920138,1.80968508514563,9698.24047627142,45718.7246381499,203,38,25,32,1.52304458994212,0.697954330364726,0.664029702249509,0.10565001735088,1.1147317771167,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","2","Slope",2022
"1284583","Site194 Slope 3 2022",3.5,1.5,53,2.5,0,0.612244897959184,1.00424247305408,0,-2.60148096534316,0.33084904889852,3921.64254260927,12781.34569602,118,25,5,27,1.33422474599246,0.65340419419707,0.618931341568515,-1.40867610601391,0.954936177363491,2,"","","LTMP","GBR","Sector7","Reef65","Site194","3","Slope",2022
"1284712","Site194 Slope 4 2022",8,0,53.5,0.5,0,0.1171875,0.233791658706459,0,-1.8284756725052,-0.574585101639751,7554.64613709087,16104.6281047562,127,29,9,31,1.68286889080792,0.765267530535061,0.701283402566805,-0.611931398965762,1.66185100558946,2,"","","LTMP","GBR","Sector7","Reef65","Site194","4","Slope",2022
"1284841","Site194 Slope 5 2022",6.96517412935323,0.497512437810945,74.1293532338308,0,0,0.489795918367347,0.682908104700472,0,-2.05783060284452,-0.906876137946758,12840.6050429405,30187.3353474836,197,33,4,46,1.40118953466536,0.647298307093715,0.608853616429179,0.0871347223166796,1.84959685241982,2,"","","LTMP","GBR","Sector7","Reef65","Site194","5","Slope",2022
"1284970","Site195 Slope 1 2022",10.5,1.5,55,0,2,0.648526077097506,1.07101854240991,0,-2.6571074715175,0.727071487518689,15672.7153301201,26273.0077439066,155,37,22,29,1.4843618725543,0.659687825182102,0.616899063475546,-0.0871546330261052,0.821272054410251,2,"","","LTMP","GBR","Sector7","Reef65","Site195","1","Slope",2022
"1285099","Site195 Slope 2 2022",7.5,2.5,56,1.5,0.5,0.515555555555556,0.988154224290194,0.133333333333333,-1.56830926452757,1.14110268090996,8129.37398138367,13402.1556179375,93,34,24,29,1.92384592214864,0.849346745288473,0.675916290900682,-0.480256022163659,0.667432386837602,2,"","","LTMP","GBR","Sector7","Reef65","Site195","2","Slope",2022
"1285228","Site195 Slope 3 2022",11.0552763819095,2.01005025125628,76.8844221105528,0,0,0.665289256198347,1.18396377272449,0,-3.19903623513291,1.27211844348458,24368.9806443285,54175.7217630557,320,44,36,52,1.27354065168089,0.569013671875,0.543505859375,1.60021302110933,0.930971740540523,3.5,"","","LTMP","GBR","Sector7","Reef65","Site195","3","Slope",2022
"1285357","Site195 Slope 4 2022",18.407960199005,2.48756218905473,64.1791044776119,0.995024875621891,0.497512437810945,0.616508400292184,1.12223637936063,0.027027027027027,-1.98758640678257,1.39219692397698,12587.0939210468,43241.4261626113,202,38,61,37,1.81410317125202,0.807960003921184,0.717968826585629,1.24140414744223,0.463436054400386,3,"","","LTMP","GBR","Sector7","Reef65","Site195","4","Slope",2022
"1285486","Site195 Slope 5 2022",11.5,0.5,75,0.5,1.5,0.725897920604915,1.33408191896482,0.130434782608696,-1.75322482881598,1.12787811167191,6839.73074078233,21636.5185200369,156,31,62,31,1.81811815515625,0.803583168967784,0.650147928994083,0.382429800137608,0.254396198056971,2,"","","LTMP","GBR","Sector7","Reef65","Site195","5","Slope",2022
"1285615","Site193 Slope 1 2023",20,0,53,0.5,0,0.30125,0.56842361782183,0,-2.33345206586568,0.554823934450852,4681.72673659285,7235.53631604993,91,26,8,27,1.81818904092873,0.833594976452119,0.737471319888902,-1.14409317656404,0.957796521419836,2,"","","LTMP","GBR","Sector7","Reef65","Site193","1","Slope",2023
"1285744","Site193 Slope 2 2023",7,2.5,54,2,0,0.5,0.830471712436292,0,-2.48093982246703,0.0157659211364274,8169.89078235477,15971.1498205365,108,29,17,27,1.77403719482474,0.791838134430727,0.693930041152263,-0.535880738933276,0.513952040109902,2,"","","LTMP","GBR","Sector7","Reef65","Site193","2","Slope",2023
"1285873","Site193 Slope 3 2023",7,1,57.5,0.5,0,0.520408163265306,0.892117870818816,0,-2.58839474686039,0.785432251382726,9603.44509647412,18561.8882087314,156,31,15,21,1.50429366139359,0.684500328731098,0.637163050624589,-0.306523519443143,0.433088499358598,2,"","","LTMP","GBR","Sector7","Reef65","Site193","3","Slope",2023
"1286002","Site193 Slope 4 2023",11,1,76,0.5,0,0.65702479338843,1.17320611618526,0.0454545454545455,-2.577443532518,0.841273220208447,8626.51607169344,27245.3159465057,259,31,12,22,1.15042699957244,0.527884199698872,0.515779430837346,-0.813551533134895,0.987768974222945,2.5,"","","LTMP","GBR","Sector7","Reef65","Site193","4","Slope",2023
"1286131","Site193 Slope 5 2023",13.0653266331658,5.0251256281407,67.3366834170854,1.00502512562814,0,0.56508875739645,1.06229883243951,0.0769230769230769,-1.86187318061973,0.492383829519266,13470.6426357273,22142.0861631362,166,36,11,30,1.48770409657872,0.652779793874292,0.624764116707795,-0.0739481401765153,1.25623661276805,3,"","","LTMP","GBR","Sector7","Reef65","Site193","5","Slope",2023
"1286260","Site194 Slope 1 2023",10.9452736318408,3.48258706467662,62.6865671641791,0,0.497512437810945,0.566115702479339,0.979478265590375,0,-3.00197562818753,0.562810041155658,8300.3934305759,12019.1582208624,119,33,12,31,1.75392093989123,0.795635901419391,0.729256408445731,-0.640215546500284,0.972772287234054,2,"","","LTMP","GBR","Sector7","Reef65","Site194","1","Slope",2023
"1286389","Site194 Slope 2 2023",21,2,46,1.5,0,0.658730158730159,1.14841925036026,0.0238095238095238,-2.33892500811921,1.5265400196927,20111.4944021327,70472.4510515571,258,34,33,30,1.35182443604534,0.588471245718406,0.55656210564269,0.635251012255606,1.12438565359338,3,"","","LTMP","GBR","Sector7","Reef65","Site194","2","Slope",2023
"1286518","Site194 Slope 3 2023",6,3,50.5,2.5,0,0.645833333333333,0.93663283527725,0.0833333333333333,-1.2711688385779,-0.627923073359904,4137.42581290261,10024.6802250534,103,23,4,28,1.57962267048125,0.756904515034405,0.704119144122915,-1.26420421099464,1.22251673379672,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","3","Slope",2023
"1286647","Site194 Slope 4 2023",12,4.5,44.5,0.5,0,0.288194444444444,0.544283732969439,0.0416666666666667,-1.53412065823438,-0.11642497058865,22033.54135271,57804.1974001579,271,39,21,37,1.19430497097886,0.542054165929113,0.52067646137716,0.559679430078399,1.06618874333414,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","4","Slope",2023
"1286776","Site194 Slope 5 2023",13,1,65.5,0.5,0.5,0.569526627218935,0.930620311560201,0,-2.8795760973461,0.494038858641549,12833.0118693966,43806.9547873359,294,34,21,29,1.18130145344485,0.503702161136564,0.483803045027535,0.180140794558828,1.41327642365639,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","5","Slope",2023
"1286905","Site195 Slope 1 2023",9,4,53.5,1,2,0.660493827160494,1.22357565413896,0,-3.44474523238758,1.74157949640009,10395.3640646782,23399.5175889282,112,34,29,37,1.9607011341483,0.852279974489796,0.695073341836735,0.265582397041263,0.386559058062613,2,"","","LTMP","GBR","Sector7","Reef65","Site195","1","Slope",2023
"1287034","Site195 Slope 2 2023",11.5,2.5,48,2,0,0.669187145557656,1.19225893177706,0.0434782608695652,-2.19329928929301,1.58549214949657,7248.12516723409,26428.5280238156,135,32,47,44,1.84846225820378,0.836213991769547,0.656680384087792,0.500276416931333,-0.134569796279864,2,"","","LTMP","GBR","Sector7","Reef65","Site195","2","Slope",2023
"1287163","Site195 Slope 3 2023",9,4.5,79,0.5,0.5,0.549382716049383,0.867563228481461,0.0555555555555556,-1.52286383465992,-0.748609800775636,21985.3110522327,49821.4983054611,225,42,28,47,1.54999092133385,0.678202469135802,0.634192592592593,1.08966486094861,0.774629999232165,3,"","","LTMP","GBR","Sector7","Reef65","Site195","3","Slope",2023
"1287292","Site195 Slope 4 2023",14.5,1,69.5,0,1,0.599286563614744,1.0727396460639,0,-3.09703742858657,1.02633227901359,32217.8235275806,68484.6202583923,218,43,26,107,1.7425340474023,0.757953875936369,0.64744129282047,2.22545609418405,1.82136019362642,3.5,"","","LTMP","GBR","Sector7","Reef65","Site195","4","Slope",2023
"1287421","Site195 Slope 5 2023",15.5,1.5,65.5,1.5,3,0.695109261186264,1.06837184384792,0,-2.59622669914516,1.14273787238747,9766.7354906701,20089.7631278871,191,29,18,31,1.49398733957334,0.665661577259395,0.629313889421891,-0.0197889394469522,0.841116782262304,2.5,"","","LTMP","GBR","Sector7","Reef65","Site195","5","Slope",2023
"1287550","Site193 Slope 1 2024",17.5,0,60,1.5,0,0.380408163265306,0.743317224192063,0,-2.81811973923966,0.634863703121922,5884.13243213141,10131.4705539787,156,26,12,21,1.53188629929318,0.714620315581854,0.668844510190664,-1.03809346753817,0.979647727522474,2.5,"","","LTMP","GBR","Sector7","Reef65","Site193","1","Slope",2024
"1287679","Site193 Slope 2 2024",8.5,0,69.5,4,0,0.304498269896194,0.578325286660127,0,-2.58431046280842,0.199555766350476,6338.25230877374,10789.9251334476,133,31,16,39,1.70810184586591,0.795748770422296,0.721013058963198,-0.442329549325654,0.958665738838685,2,"","","LTMP","GBR","Sector7","Reef65","Site193","2","Slope",2024
"1287808","Site193 Slope 3 2024",9.5,0,54,2.5,0,0.659279778393352,1.08707415553776,0,-2.70311439698153,1.22499962296332,6371.16778101264,9058.64070575433,192,33,4,43,1.46460698149103,0.698567708333333,0.669108072916667,-0.429550909290963,1.39970151488314,2,"","","LTMP","GBR","Sector7","Reef65","Site193","3","Slope",2024
"1287937","Site193 Slope 4 2024",12,0.5,66.5,4,0.5,0.548611111111111,1.01289635348511,0,-3.09701705307932,1.07742890907168,14543.3962808962,28199.1840361552,165,32,34,37,1.80744906086876,0.816051423324151,0.719742883379247,0.627456889903598,0.535914410295064,2.5,"","","LTMP","GBR","Sector7","Reef65","Site193","4","Slope",2024
"1288066","Site193 Slope 5 2024",9,0,75.5,1,0,0.549382716049383,0.933823851714722,0,-2.6156365138349,0.791738313711383,21492.5452571601,31673.7350257276,130,33,34,27,1.7103340587718,0.802366863905325,0.631360946745562,-0.192916123283644,0.450233181677212,2.5,"","","LTMP","GBR","Sector7","Reef65","Site193","5","Slope",2024
"1288195","Site194 Slope 1 2024",12.2549019607843,0.490196078431373,63.7254901960784,0,0,0.5856,0.96226783650699,0,-2.63580919666341,1.30366256570039,12217.3109258261,15821.7541968527,145,38,8,42,1.83890429096043,0.814126040428062,0.73269916765755,0.296268102368201,1.03227748400429,3,"","","LTMP","GBR","Sector7","Reef65","Site194","1","Slope",2024
"1288324","Site194 Slope 2 2024",19.5,0,53.5,2.5,1.5,0.598290598290598,0.981195410671543,0,-2.64789636264125,1.37031130938397,11115.8638610005,15605.8103882739,215,42,7,35,1.30095608544325,0.638658734451055,0.616419686316928,-0.24753519275568,1.06093152494096,3,"","","LTMP","GBR","Sector7","Reef65","Site194","2","Slope",2024
"1288453","Site194 Slope 3 2024",9.5,0,33,2,0,0.781163434903047,1.62145221230687,0.263157894736842,-1.44314822526751,2.52538199044785,6259.71066566205,9299.07833572894,122,25,11,27,1.52454248943111,0.715399086267132,0.667696855683956,-0.936935495851776,0.790150977743611,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","3","Slope",2024
"1288582","Site194 Slope 4 2024",7,0,59.5,1,0,0.489795918367347,0.682908104700472,0,-2.08752594522702,-0.876493711727531,5907.27424051082,34092.7150907918,254,29,2,28,0.923870431755888,0.466023932047864,0.461280922561845,-0.875595478370259,1.42247684756152,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","4","Slope",2024
"1288711","Site194 Slope 5 2024",18.5,0,54,1.5,0.5,0.598977355734112,1.13099407614724,0,-3.02024806919234,0.698996409501187,11751.4610966951,20302.3414257849,217,36,12,48,1.4709292881239,0.661725668415129,0.618318503259785,0.39795473544511,0.72985809718494,2.5,"","","LTMP","GBR","Sector7","Reef65","Site194","5","Slope",2024
"1288840","Site195 Slope 1 2024",4.5,1.5,47,0,0,0.641975308641975,1.06085694715802,0,-3.31957732223389,1.41549763694873,4587.37544694566,6555.37663378446,55,25,2,26,1.49359282393029,0.739504132231405,0.679338842975207,-1.93422803944113,1.12684445417929,2.5,"","","LTMP","GBR","Sector7","Reef65","Site195","1","Slope",2024
"1288969","Site195 Slope 2 2024",8.5,2,51,0,0,0.55363321799308,0.923840705630872,0,-2.56843748212773,0.261658772058674,7730.55662126558,18448.1560909363,113,28,16,40,1.7574225272155,0.812749628005325,0.723001018090688,-0.417424816232665,0.222785510730472,2.5,"","","LTMP","GBR","Sector7","Reef65","Site195","2","Slope",2024
"1289098","Site195 Slope 3 2024",8,1,72.5,0.5,1,0.3984375,0.70291893077351,0.0625,-1.3005706726989,-0.71952764477891,9927.72323730948,65576.5832605353,343,37,18,29,0.910881457172714,0.380912714940204,0.369777898664672,0.0452511045519357,0.786745043862072,3,"","","LTMP","GBR","Sector7","Reef65","Site195","3","Slope",2024
"1289227","Site195 Slope 4 2024",9.9502487562189,0,74.6268656716418,0.995024875621891,0.497512437810945,0.515,0.886464475679797,0,-2.57019834878197,0.472982480341473,14147.9412690468,157385.313633901,630,38,28,27,0.713032901134956,0.280435878054926,0.274409171075838,1.03372931338871,0.827674880896333,3,"","","LTMP","GBR","Sector7","Reef65","Site195","4","Slope",2024
"1289356","Site195 Slope 5 2024",17.0854271356784,0,70.3517587939699,3.01507537688442,0,0.579584775086505,0.967025786490475,0,-2.5783451126328,1.81209131119885,8614.11068269908,16020.7419996788,145,32,20,29,1.66026449036785,0.743258026159334,0.685422116527943,-0.273760440586879,0.508564879525842,2.5,"","","LTMP","GBR","Sector7","Reef65","Site195","5","Slope",2024
"1289485","Site196 Slope 1 2021",21.5,0,41,0.5,0,0.434829637641969,0.694809389011687,0,-2.40077227412232,1.22559670025907,13529.646103702,18501.2381860286,118,24,28,12,1.9030416969078,0.830508474576271,0.699080723929905,-0.610531074931278,0.182455458658164,3,"","","LTMP","GBR","Sector7","Reef66","Site196","1","Slope",2021
"1289614","Site196 Slope 2 2021",14.5,0,61,0,3,0.475624256837099,0.882761462828955,0.103448275862069,-1.14042685649312,1.81066704564343,8734.52488428167,12502.6022555364,102,21,13,20,1.86695682405563,0.819300269127259,0.724913494809689,-1.11101118596101,1.37349525662403,3,"","","LTMP","GBR","Sector7","Reef66","Site196","2","Slope",2021
"1289743","Site196 Slope 3 2021",28.2926829268293,0,55.1219512195122,1.46341463414634,1.46341463414634,0.63436385255648,1.09616556600957,0.0172413793103448,-2.38470248774305,1.27802046047739,19362.7881704546,27792.9558301703,189,26,20,28,1.57119958917125,0.665882814030962,0.623498782228941,0.669451818377026,0.870449696195068,3,"","","LTMP","GBR","Sector7","Reef66","Site196","3","Slope",2021
"1289872","Site196 Slope 4 2021",26.3681592039801,0.497512437810945,43.7810945273632,0,0.497512437810945,0.375934496262015,0.691847227408475,0,-2.43327668056471,0.391745218751973,13470.8952244533,20089.1424948878,96,25,22,7,1.81385085964402,0.8115234375,0.636827256944444,-1.348198451397,-0.186887322519413,2,"","","LTMP","GBR","Sector7","Reef66","Site196","4","Slope",2021
"1290001","Site196 Slope 5 2021",16.5,0,53,1.5,3.5,0.552800734618916,1.03966025758085,0.0303030303030303,-2.66374830552838,1.07920018966617,10758.016948223,14178.3212053612,78,18,21,13,1.94962279728386,0.823471400394477,0.582511505588429,-0.956502098388943,0.106098552241893,2,"","","LTMP","GBR","Sector7","Reef66","Site196","5","Slope",2021
"1290130","Site197 Slope 1 2021",7.5,0,63,4,0.5,0.391111111111111,0.579915171418101,0,-2.05376426219646,-0.799507076630522,8074.35433853837,15230.6333377489,77,22,22,12,1.99235477144564,0.855456232079609,0.677348625400574,-0.95676453568464,-0.0457095634148854,2.5,"","","LTMP","GBR","Sector7","Reef66","Site197","1","Slope",2021
"1290259","Site197 Slope 2 2021",10.7317073170732,0,73.1707317073171,1.46341463414634,1.46341463414634,0.640495867768595,1.05947829265385,0,-2.67482437297501,0.715343102459967,4226.9896455568,5672.7553723886,82,20,2,16,1.69076919404733,0.776621058893516,0.737953599048186,-1.6673105485964,1.45649881600491,2,"","","LTMP","GBR","Sector7","Reef66","Site197","2","Slope",2021
"1290388","Site197 Slope 3 2021",8.7378640776699,0,64.0776699029126,2.42718446601942,1.94174757281553,0.5,0.925701911121967,0,-3.04439036664588,0.796102373350906,6884.65155912342,10595.2747622593,81,19,10,21,1.93033138273176,0.828684651729919,0.711629324798049,-1.00911867830471,0.923545186412205,2,"","","LTMP","GBR","Sector7","Reef66","Site197","3","Slope",2021
"1290517","Site197 Slope 4 2021",16.5,1,65.5,1.5,0.5,0.359963269054178,0.719477810128359,0.0303030303030303,-1.94613898726407,0.184547496372957,7318.70395101644,12441.7332896933,78,23,25,14,1.83697371836695,0.80111768573307,0.508547008547009,-1.08236797990532,-0.116473655883938,2,"","","LTMP","GBR","Sector7","Reef66","Site197","4","Slope",2021
"1290646","Site197 Slope 5 2021",17.5,2,56,2,4.5,0.522448979591837,0.989679616136893,0.114285714285714,-1.4434169987012,0.111098620714195,8769.88616129705,12068.5239256958,106,26,18,15,1.83073401008008,0.793965824136703,0.640174439302243,-0.762577078306232,0.305663344013381,2.5,"","","LTMP","GBR","Sector7","Reef66","Site197","5","Slope",2021
"1290775","Site198 Slope 1 2021",15,3.5,70.5,2.5,3,0.633333333333333,1.13433798691149,0,-3.20243517041999,1.04604758304134,16210.4930178653,72223.9298125638,127,22,62,36,1.99239772201585,0.837001674003348,0.562961125922252,0.789902292066068,-0.519096516473981,2,"","","LTMP","GBR","Sector7","Reef66","Site198","1","Slope",2021
"1290904","Site198 Slope 2 2021",29.7169811320755,0.943396226415094,47.6415094339623,1.41509433962264,4.71698113207547,0.444948349710254,0.929353836372798,0.142857142857143,-1.08204455565606,0.755826814272257,10463.4947090695,19988.2751753938,64,18,26,10,1.88565924955568,0.824462890625,0.609619140625,-1.30312023658653,-0.604034752391874,2,"","","LTMP","GBR","Sector7","Reef66","Site198","2","Slope",2021
"1291033","Site198 Slope 3 2021",13.5,4.5,66.5,2,5,0.728395061728395,1.2693903548941,0,-2.19237122892135,0.310026287844575,11820.1481144629,18568.890033623,50,22,12,10,1.92263345416981,0.8024,0.5768,-1.4633051872288,0.211088704075215,3,"","","LTMP","GBR","Sector7","Reef66","Site198","3","Slope",2021
"1291162","Site198 Slope 4 2021",27,2,56,2,2,0.408093278463649,0.74234848125947,0.0185185185185185,-2.04110963933851,-0.0936491609852626,11169.3650122859,17290.1557030067,48,16,15,10,1.82545879328968,0.831597222222222,0.580729166666667,-1.89356490245357,-0.497175105890349,3,"","","LTMP","GBR","Sector7","Reef66","Site198","4","Slope",2021
"1291291","Site198 Slope 5 2021",17,2,69,4,1,0.576124567474048,0.982309823890009,0.0294117647058824,-2.0803440573998,-0.0215068623506584,19220.9398961017,80530.2612349441,107,23,62,20,1.64768748154903,0.767228578915189,0.432177482749585,-0.36413968260339,-1.2532774695195,2.5,"","","LTMP","GBR","Sector7","Reef66","Site198","5","Slope",2021
"1291420","Site196 Slope 1 2022",13.5,0.5,52.5,1,0.5,0.499314128943759,0.692461152611233,0,-2.23013690980154,2.11163267122391,15011.8101633969,20370.9243740531,150,29,14,36,1.5543781262387,0.701688888888889,0.654666666666667,-0.111932407167135,1.31784276558136,2,"","","LTMP","GBR","Sector7","Reef66","Site196","1","Slope",2022
"1291549","Site196 Slope 2 2022",14.8514851485149,0.495049504950495,54.950495049505,2.47524752475248,0,0.597777777777778,0.983104766268996,0,-2.65004231389681,1.30987163311801,10303.7426024917,12325.3476025177,132,37,12,24,1.64890944614181,0.757862718089991,0.721476124885216,-0.360663350613281,1.30779224484024,2.5,"","","LTMP","GBR","Sector7","Reef66","Site196","2","Slope",2022
"1291678","Site196 Slope 3 2022",13.5,0,64,0.5,4,0.510288065843621,0.84448673476306,0,-2.52955424599,2.130946649635,11899.9973112339,37082.346657068,251,44,47,46,1.54920905745211,0.785574832145521,0.73370263964064,1.7757476573947,0.60368858142624,2.5,"","","LTMP","GBR","Sector7","Reef66","Site196","3","Slope",2022
"1291807","Site196 Slope 4 2022",19.5,0,44,3.5,0.5,0.43655489809336,0.760148941402756,0,-2.4908757155825,0.83788375586219,13283.2790978698,32345.2392580251,146,37,52,44,1.68265917818003,0.792268718333646,0.674047663726778,0.689816081274559,0.190393081102148,2,"","","LTMP","GBR","Sector7","Reef66","Site196","4","Slope",2022
"1291936","Site196 Slope 5 2022",15,0,44.5,2,0,0.417777777777778,0.729871209983116,0,-2.42514816209111,0.0460201934622592,10136.1511381636,26112.4710547695,101,28,39,39,1.67283535965267,0.765807273796687,0.609155965101461,0.0826262791174981,-0.218247717942966,2.5,"","","LTMP","GBR","Sector7","Reef66","Site196","5","Slope",2022
"1292065","Site197 Slope 1 2022",10.5,0,49,4,1,0.54421768707483,0.928584507439656,0,-2.50397992385587,0.544063356280457,11490.0300566536,28568.237046573,171,33,64,37,1.78372990069823,0.806949146746007,0.641086146164632,0.782828998568897,-0.178095260824839,2,"","","LTMP","GBR","Sector7","Reef66","Site197","1","Slope",2022
"1292194","Site197 Slope 2 2022",7.92079207920792,0,71.7821782178218,2.47524752475248,1.48514851485149,0.5546875,0.881532261188164,0,-2.47448007833824,-0.103362341468856,10079.4793731419,45542.2439442498,190,36,94,45,1.50382588860076,0.721135734072022,0.571828254847645,0.777456239327909,-0.610455781125151,2,"","","LTMP","GBR","Sector7","Reef66","Site197","2","Slope",2022
"1292323","Site197 Slope 3 2022",14,0.5,54,3,0,0.581632653061225,0.979971182083305,0,-2.6402518723392,0.72326096683013,7229.09390070071,35663.4696776287,191,31,101,33,1.5688598710541,0.699405169814424,0.552698665058524,0.952695730371074,-0.348323888946633,2,"","","LTMP","GBR","Sector7","Reef66","Site197","3","Slope",2022
"1292452","Site197 Slope 4 2022",10.8910891089109,0.495049504950495,61.8811881188119,1.98019801980198,0,0.56198347107438,1.19881818782478,0.136363636363636,-0.438268534627679,0.310548118015075,8924.82104945906,20746.2374623494,139,34,45,37,1.71906607658139,0.824077428704518,0.603591946586616,0.0294104519086679,-0.735748559930443,2,"","","LTMP","GBR","Sector7","Reef66","Site197","4","Slope",2022
"1292581","Site197 Slope 5 2022",8.5,0,75,1.5,0.5,0.581314878892734,1.07101788902446,0.0588235294117647,-1.98196421085771,0.444805969380213,11325.7397387885,30339.3538798417,149,36,63,42,1.71909522706097,0.791315706499707,0.566641142290888,0.6480632195884,-0.736256496665335,2,"","","LTMP","GBR","Sector7","Reef66","Site197","5","Slope",2022
"1292710","Site198 Slope 1 2022",10,1.5,81,2,1.5,0.545,0.855688667255669,0,-2.44037686483756,-0.192654151462253,4733.03625967479,6522.50584665158,85,27,10,35,1.55289638160878,0.719446366782007,0.581868512110727,-1.01360506096902,0.176501651806462,2,"","","LTMP","GBR","Sector7","Reef66","Site198","1","Slope",2022
"1292839","Site198 Slope 2 2022",9.5,0.5,60.5,0,1,0.421052631578947,0.753442461180238,0,-2.47081882022574,0.300791126147217,12945.861010372,14887.367138164,82,32,10,34,1.45377340051718,0.715645449137418,0.588637715645449,-0.695363300030584,-0.00760873201930005,2,"","","LTMP","GBR","Sector7","Reef66","Site198","2","Slope",2022
"1292968","Site198 Slope 3 2022",12.807881773399,0,79.3103448275862,0.492610837438424,0.492610837438424,0.718934911242603,1.31744472222005,0.115384615384615,-1.79438815947203,1.25382444563389,7534.08836630284,8258.59143801698,64,27,6,21,1.52139342190431,0.777587890625,0.667724609375,-1.4970999561617,0.448631584411396,2,"","","LTMP","GBR","Sector7","Reef66","Site198","3","Slope",2022
